HDR,ROLLING SYSTEM DEMAND,
VD,20200310191500,39804
VD,20200310192000,39755
VD,20200310192500,39628
VD,20200310193000,39423
VD,20200310193500,39393
VD,20200310194000,39144
VD,20200310194500,38902
VD,20200310195000,38702
VD,20200310195500,38551
VD,20200310200000,38371
VD,20200310200500,38417
VD,20200310201000,38216
VD,20200310201500,38066
VD,20200310202000,37798
VD,20200310202500,37458
VD,20200310203000,37237
VD,20200310203500,37141
VD,20200310204000,36938
VD,20200310204500,36776
VD,20200310205000,36637
VD,20200310205500,36300
VD,20200310210000,35951
VD,20200310210500,35724
VD,20200310211000,35351
VD,20200310211500,35020
VD,20200310212000,34637
VD,20200310212500,34097
VD,20200310213000,33842
VD,20200310213500,33632
VD,20200310214000,33262
VD,20200310214500,32753
VD,20200310215000,32454
VD,20200310215500,32297
VD,20200310220000,31866
VD,20200310220500,31139
VD,20200310221000,30736
VD,20200310221500,30394
VD,20200310222000,30110
VD,20200310222500,29863
VD,20200310223000,29509
VD,20200310223500,29143
VD,20200310224000,28836
VD,20200310224500,28434
VD,20200310225000,28283
VD,20200310225500,27959
VD,20200310230000,27708
VD,20200310230500,27423
VD,20200310231000,27334
VD,20200310231500,26994
VD,20200310232000,26643
VD,20200310232500,26384
VD,20200310233000,26201
VD,20200310233500,26051
VD,20200310234000,25976
VD,20200310234500,25888
VD,20200310235000,25787
VD,20200310235500,25792
FTR,288,
