HDR,ROLLING SYSTEM DEMAND,
VD,20200309000000,24226
VD,20200309000500,24467
VD,20200309001000,24562
VD,20200309001500,24579
VD,20200309002000,24466
VD,20200309002500,24457
VD,20200309003000,24422
VD,20200309003500,24711
VD,20200309004000,24911
VD,20200309004500,25058
VD,20200309005000,25140
VD,20200309005500,25124
VD,20200309010000,25006
VD,20200309010500,24964
VD,20200309011000,24954
VD,20200309011500,24884
VD,20200309012000,24866
VD,20200309012500,24778
VD,20200309013000,24629
VD,20200309013500,24549
VD,20200309014000,24425
VD,20200309014500,24330
VD,20200309015000,24268
VD,20200309015500,24094
VD,20200309020000,24127
VD,20200309020500,24311
VD,20200309021000,24343
VD,20200309021500,24335
VD,20200309022000,24303
VD,20200309022500,24240
VD,20200309023000,24275
VD,20200309023500,24185
VD,20200309024000,24167
VD,20200309024500,24191
VD,20200309025000,24205
VD,20200309025500,24108
VD,20200309030000,24023
VD,20200309030500,23961
VD,20200309031000,23943
VD,20200309031500,23872
VD,20200309032000,23823
VD,20200309032500,23697
VD,20200309033000,23604
VD,20200309033500,23561
VD,20200309034000,23621
VD,20200309034500,23711
VD,20200309035000,23721
VD,20200309035500,23684
VD,20200309040000,23628
VD,20200309040500,23424
VD,20200309041000,23500
VD,20200309041500,23489
VD,20200309042000,23429
VD,20200309042500,23440
VD,20200309043000,23427
VD,20200309043500,23501
VD,20200309044000,23378
VD,20200309044500,23277
VD,20200309045000,23361
VD,20200309045500,23324
VD,20200309050000,23438
VD,20200309050500,23564
VD,20200309051000,23800
VD,20200309051500,23947
VD,20200309052000,24061
VD,20200309052500,24265
VD,20200309053000,24580
VD,20200309053500,24911
VD,20200309054000,25207
VD,20200309054500,25516
VD,20200309055000,25893
VD,20200309055500,26305
VD,20200309060000,26720
VD,20200309060500,27538
VD,20200309061000,28357
VD,20200309061500,28888
VD,20200309062000,29215
VD,20200309062500,29545
VD,20200309063000,29912
VD,20200309063500,30412
VD,20200309064000,30888
VD,20200309064500,31435
VD,20200309065000,32006
VD,20200309065500,32546
VD,20200309070000,32957
VD,20200309070500,33217
VD,20200309071000,33864
VD,20200309071500,34309
VD,20200309072000,34532
VD,20200309072500,34766
VD,20200309073000,35055
VD,20200309073500,34884
VD,20200309074000,35163
VD,20200309074500,35193
VD,20200309075000,35332
VD,20200309075500,35591
VD,20200309080000,35698
VD,20200309080500,35935
VD,20200309081000,35917
VD,20200309081500,35966
VD,20200309082000,35905
VD,20200309082500,35947
VD,20200309083000,36020
VD,20200309083500,36095
VD,20200309084000,36007
VD,20200309084500,35942
VD,20200309085000,35833
VD,20200309085500,35749
VD,20200309090000,35817
VD,20200309090500,35944
VD,20200309091000,35781
VD,20200309091500,35769
VD,20200309092000,35795
VD,20200309092500,35823
VD,20200309093000,35676
VD,20200309093500,35641
VD,20200309094000,35738
VD,20200309094500,35790
VD,20200309095000,35759
VD,20200309095500,35744
VD,20200309100000,35377
VD,20200309100500,35070
VD,20200309101000,34913
VD,20200309101500,34857
VD,20200309102000,34744
VD,20200309102500,34749
VD,20200309103000,34673
VD,20200309103500,34605
VD,20200309104000,34475
VD,20200309104500,34517
VD,20200309105000,34486
VD,20200309105500,34642
VD,20200309110000,34687
VD,20200309110500,34865
VD,20200309111000,35101
VD,20200309111500,35133
VD,20200309112000,35212
VD,20200309112500,35235
VD,20200309113000,35257
VD,20200309113500,35330
VD,20200309114000,35330
VD,20200309114500,35395
VD,20200309115000,35419
VD,20200309115500,35656
VD,20200309120000,35660
VD,20200309120500,35939
VD,20200309121000,35876
VD,20200309121500,35960
VD,20200309122000,36084
VD,20200309122500,36147
VD,20200309123000,36227
VD,20200309123500,36346
VD,20200309124000,36368
VD,20200309124500,36394
VD,20200309125000,36345
VD,20200309125500,36137
VD,20200309130000,36037
VD,20200309130500,36335
VD,20200309131000,36263
VD,20200309131500,36309
VD,20200309132000,36409
VD,20200309132500,36586
VD,20200309133000,36736
VD,20200309133500,36620
VD,20200309134000,36436
VD,20200309134500,36496
VD,20200309135000,36649
VD,20200309135500,36755
VD,20200309140000,36806
VD,20200309140500,36991
VD,20200309141000,37015
VD,20200309141500,37001
VD,20200309142000,36872
VD,20200309142500,36880
VD,20200309143000,36925
VD,20200309143500,37128
VD,20200309144000,37223
VD,20200309144500,37085
VD,20200309145000,36955
VD,20200309145500,36983
VD,20200309150000,37094
VD,20200309150500,37118
VD,20200309151000,37168
VD,20200309151500,37312
VD,20200309152000,37525
VD,20200309152500,37684
VD,20200309153000,37711
VD,20200309153500,37799
VD,20200309154000,37956
VD,20200309154500,38152
VD,20200309155000,38461
VD,20200309155500,38780
VD,20200309160000,39007
VD,20200309160500,39070
VD,20200309161000,39380
VD,20200309161500,39558
VD,20200309162000,39617
VD,20200309162500,39640
VD,20200309163000,39926
VD,20200309163500,40317
VD,20200309164000,40286
VD,20200309164500,40413
VD,20200309165000,40570
VD,20200309165500,40866
VD,20200309170000,40754
VD,20200309170500,40740
VD,20200309171000,41480
VD,20200309171500,41719
VD,20200309172000,41834
VD,20200309172500,42057
VD,20200309173000,42148
VD,20200309173500,42204
VD,20200309174000,42220
VD,20200309174500,42210
VD,20200309175000,42382
VD,20200309175500,42406
VD,20200309180000,42149
VD,20200309180500,41853
VD,20200309181000,41847
VD,20200309181500,41709
VD,20200309182000,41805
VD,20200309182500,41798
VD,20200309183000,41703
VD,20200309183500,41796
VD,20200309184000,41718
VD,20200309184500,41627
VD,20200309185000,41501
VD,20200309185500,41238
VD,20200309190000,40933
VD,20200309190500,40973
VD,20200309191000,41126
VD,20200309191500,40783
VD,20200309192000,40514
VD,20200309192500,40303
VD,20200309193000,40084
VD,20200309193500,40077
VD,20200309194000,39787
VD,20200309194500,39370
VD,20200309195000,39156
VD,20200309195500,38867
VD,20200309200000,38616
VD,20200309200500,38685
VD,20200309201000,38538
VD,20200309201500,38187
VD,20200309202000,37756
VD,20200309202500,37441
VD,20200309203000,37205
VD,20200309203500,36996
VD,20200309204000,36679
VD,20200309204500,36307
VD,20200309205000,36001
VD,20200309205500,35682
VD,20200309210000,35367
VD,20200309210500,34741
VD,20200309211000,34407
VD,20200309211500,34009
VD,20200309212000,33676
VD,20200309212500,33336
VD,20200309213000,33069
VD,20200309213500,32666
VD,20200309214000,32384
VD,20200309214500,32123
VD,20200309215000,31765
VD,20200309215500,31165
VD,20200309220000,30801
VD,20200309220500,30168
VD,20200309221000,29881
VD,20200309221500,29649
VD,20200309222000,29394
VD,20200309222500,29016
VD,20200309223000,28758
VD,20200309223500,28551
VD,20200309224000,28268
VD,20200309224500,28026
VD,20200309225000,27709
VD,20200309225500,27327
VD,20200309230000,26938
VD,20200309230500,26262
VD,20200309231000,26172
VD,20200309231500,26083
VD,20200309232000,25777
VD,20200309232500,25476
VD,20200309233000,25309
VD,20200309233500,25311
VD,20200309234000,25252
VD,20200309234500,25132
VD,20200309235000,25131
VD,20200309235500,25071
FTR,288,
