HDR,ROLLING SYSTEM DEMAND,
VD,20200305000000,31609
VD,20200305000500,31761
VD,20200305001000,31843
VD,20200305001500,31808
VD,20200305002000,31782
VD,20200305002500,31730
VD,20200305003000,31746
VD,20200305003500,31980
VD,20200305004000,32110
VD,20200305004500,32236
VD,20200305005000,32315
VD,20200305005500,32277
VD,20200305010000,32206
VD,20200305010500,32140
VD,20200305011000,32151
VD,20200305011500,32116
VD,20200305012000,32028
VD,20200305012500,31897
VD,20200305013000,31765
VD,20200305013500,31757
VD,20200305014000,31725
VD,20200305014500,31643
VD,20200305015000,31569
VD,20200305015500,31460
VD,20200305020000,31352
VD,20200305020500,31354
VD,20200305021000,31262
VD,20200305021500,31178
VD,20200305022000,31135
VD,20200305022500,31035
VD,20200305023000,30968
VD,20200305023500,30985
VD,20200305024000,30982
VD,20200305024500,30966
VD,20200305025000,30918
VD,20200305025500,30807
VD,20200305030000,30692
VD,20200305030500,30611
VD,20200305031000,30552
VD,20200305031500,30452
VD,20200305032000,30402
VD,20200305032500,30277
VD,20200305033000,30200
VD,20200305033500,30141
VD,20200305034000,30121
VD,20200305034500,29989
VD,20200305035000,29825
VD,20200305035500,29756
VD,20200305040000,29733
VD,20200305040500,29696
VD,20200305041000,29710
VD,20200305041500,29643
VD,20200305042000,29514
VD,20200305042500,29557
VD,20200305043000,29620
VD,20200305043500,29696
VD,20200305044000,29704
VD,20200305044500,29727
VD,20200305045000,29855
VD,20200305045500,29928
VD,20200305050000,29867
VD,20200305050500,29629
VD,20200305051000,30020
VD,20200305051500,30185
VD,20200305052000,30140
VD,20200305052500,29973
VD,20200305053000,29853
VD,20200305053500,29973
VD,20200305054000,30202
VD,20200305054500,30411
VD,20200305055000,30696
VD,20200305055500,30982
VD,20200305060000,31318
VD,20200305060500,31929
VD,20200305061000,32408
VD,20200305061500,32852
VD,20200305062000,33459
VD,20200305062500,33739
VD,20200305063000,34192
VD,20200305063500,34713
VD,20200305064000,35184
VD,20200305064500,35650
VD,20200305065000,36294
VD,20200305065500,36972
VD,20200305070000,37105
VD,20200305070500,37481
VD,20200305071000,38142
VD,20200305071500,38660
VD,20200305072000,39107
VD,20200305072500,39527
VD,20200305073000,39878
VD,20200305073500,40005
VD,20200305074000,40127
VD,20200305074500,40314
VD,20200305075000,40445
VD,20200305075500,40583
VD,20200305080000,40666
VD,20200305080500,41052
VD,20200305081000,41215
VD,20200305081500,41440
VD,20200305082000,41684
VD,20200305082500,41803
VD,20200305083000,41819
VD,20200305083500,41783
VD,20200305084000,41753
VD,20200305084500,41728
VD,20200305085000,41827
VD,20200305085500,41865
VD,20200305090000,41954
VD,20200305090500,42252
VD,20200305091000,42438
VD,20200305091500,42600
VD,20200305092000,42567
VD,20200305092500,42562
VD,20200305093000,42630
VD,20200305093500,42577
VD,20200305094000,42540
VD,20200305094500,42405
VD,20200305095000,42381
VD,20200305095500,42397
VD,20200305100000,42324
VD,20200305100500,42081
VD,20200305101000,41984
VD,20200305101500,41957
VD,20200305102000,41981
VD,20200305102500,42036
VD,20200305103000,42011
VD,20200305103500,42037
VD,20200305104000,42101
VD,20200305104500,42166
VD,20200305105000,42134
VD,20200305105500,42093
VD,20200305110000,41993
VD,20200305110500,42315
VD,20200305111000,42179
VD,20200305111500,42127
VD,20200305112000,42186
VD,20200305112500,42170
VD,20200305113000,42114
VD,20200305113500,41911
VD,20200305114000,41815
VD,20200305114500,41882
VD,20200305115000,41983
VD,20200305115500,41978
VD,20200305120000,41949
VD,20200305120500,41758
VD,20200305121000,41822
VD,20200305121500,41880
VD,20200305122000,41883
VD,20200305122500,41882
VD,20200305123000,41915
VD,20200305123500,41969
VD,20200305124000,41909
VD,20200305124500,41810
VD,20200305125000,41782
VD,20200305125500,41811
VD,20200305130000,41791
VD,20200305130500,41866
VD,20200305131000,41845
VD,20200305131500,41755
VD,20200305132000,41651
VD,20200305132500,41581
VD,20200305133000,41543
VD,20200305133500,41518
VD,20200305134000,41476
VD,20200305134500,41423
VD,20200305135000,41442
VD,20200305135500,41467
VD,20200305140000,41502
VD,20200305140500,41335
VD,20200305141000,41335
VD,20200305141500,41402
VD,20200305142000,41526
VD,20200305142500,41567
VD,20200305143000,41615
VD,20200305143500,41529
VD,20200305144000,41463
VD,20200305144500,41264
VD,20200305145000,41143
VD,20200305145500,41125
VD,20200305150000,41170
VD,20200305150500,41246
VD,20200305151000,41148
VD,20200305151500,41215
VD,20200305152000,41239
VD,20200305152500,41380
