HDR,ROLLING SYSTEM DEMAND,
VD,20200304000000,30712
VD,20200304000500,30877
VD,20200304001000,30866
VD,20200304001500,30822
VD,20200304002000,30755
VD,20200304002500,30800
VD,20200304003000,30807
VD,20200304003500,30774
VD,20200304004000,30689
VD,20200304004500,30592
VD,20200304005000,30321
VD,20200304005500,30225
VD,20200304010000,30343
VD,20200304010500,30624
VD,20200304011000,30707
VD,20200304011500,30794
VD,20200304012000,30992
VD,20200304012500,31117
VD,20200304013000,31036
VD,20200304013500,30826
VD,20200304014000,30621
VD,20200304014500,30556
VD,20200304015000,30487
VD,20200304015500,30409
VD,20200304020000,30337
VD,20200304020500,30321
VD,20200304021000,30278
VD,20200304021500,30240
VD,20200304022000,30194
VD,20200304022500,30182
VD,20200304023000,30064
VD,20200304023500,30023
VD,20200304024000,30041
VD,20200304024500,29956
VD,20200304025000,29761
VD,20200304025500,29639
VD,20200304030000,29565
VD,20200304030500,29546
VD,20200304031000,29520
VD,20200304031500,29480
VD,20200304032000,29388
VD,20200304032500,29283
VD,20200304033000,29169
VD,20200304033500,29124
VD,20200304034000,29101
VD,20200304034500,29094
VD,20200304035000,29118
VD,20200304035500,29059
VD,20200304040000,28960
VD,20200304040500,28946
VD,20200304041000,28882
VD,20200304041500,28845
VD,20200304042000,28789
VD,20200304042500,28783
VD,20200304043000,28812
VD,20200304043500,28958
VD,20200304044000,28984
VD,20200304044500,28894
VD,20200304045000,28845
VD,20200304045500,28988
VD,20200304050000,29074
VD,20200304050500,28539
VD,20200304051000,28562
VD,20200304051500,28696
VD,20200304052000,28357
VD,20200304052500,28466
VD,20200304053000,28584
VD,20200304053500,28798
VD,20200304054000,29038
VD,20200304054500,29270
VD,20200304055000,29696
VD,20200304055500,30106
VD,20200304060000,30497
VD,20200304060500,31263
VD,20200304061000,32182
VD,20200304061500,32814
VD,20200304062000,33322
VD,20200304062500,33683
VD,20200304063000,34131
VD,20200304063500,34596
VD,20200304064000,35106
VD,20200304064500,35555
VD,20200304065000,36008
VD,20200304065500,36551
VD,20200304070000,37100
VD,20200304070500,37834
VD,20200304071000,38246
VD,20200304071500,38717
VD,20200304072000,39020
VD,20200304072500,39342
VD,20200304073000,39511
VD,20200304073500,39569
VD,20200304074000,39709
VD,20200304074500,40046
VD,20200304075000,40025
VD,20200304075500,40101
VD,20200304080000,40211
VD,20200304080500,40480
VD,20200304081000,40338
VD,20200304081500,40369
VD,20200304082000,40467
VD,20200304082500,40573
VD,20200304083000,40521
VD,20200304083500,40493
VD,20200304084000,40363
VD,20200304084500,40243
VD,20200304085000,40245
VD,20200304085500,40197
