HDR,ROLLING SYSTEM DEMAND,
VD,20200308000000,23316
VD,20200308000500,23654
VD,20200308001000,23838
VD,20200308001500,23986
VD,20200308002000,24105
VD,20200308002500,24130
VD,20200308003000,24106
VD,20200308003500,24283
VD,20200308004000,24351
VD,20200308004500,24358
VD,20200308005000,24325
VD,20200308005500,24280
VD,20200308010000,24368
VD,20200308010500,24665
VD,20200308011000,24697
VD,20200308011500,24792
VD,20200308012000,24868
VD,20200308012500,24845
VD,20200308013000,24790
VD,20200308013500,24759
VD,20200308014000,24669
VD,20200308014500,24583
VD,20200308015000,24505
VD,20200308015500,24435
VD,20200308020000,24328
VD,20200308020500,24335
VD,20200308021000,24382
VD,20200308021500,24348
VD,20200308022000,24314
VD,20200308022500,24259
VD,20200308023000,24215
VD,20200308023500,24284
VD,20200308024000,24239
VD,20200308024500,24156
VD,20200308025000,24135
VD,20200308025500,24106
VD,20200308030000,23978
VD,20200308030500,23695
VD,20200308031000,23576
VD,20200308031500,23525
VD,20200308032000,23465
VD,20200308032500,23419
VD,20200308033000,23326
VD,20200308033500,23195
VD,20200308034000,23080
VD,20200308034500,23046
VD,20200308035000,23020
VD,20200308035500,23073
VD,20200308040000,23122
VD,20200308040500,23201
VD,20200308041000,23251
VD,20200308041500,23242
VD,20200308042000,23249
VD,20200308042500,23279
VD,20200308043000,23259
VD,20200308043500,23284
VD,20200308044000,23275
VD,20200308044500,23216
VD,20200308045000,23238
VD,20200308045500,23292
VD,20200308050000,23266
VD,20200308050500,23046
VD,20200308051000,22984
VD,20200308051500,23053
VD,20200308052000,23011
VD,20200308052500,23030
VD,20200308053000,23037
VD,20200308053500,23112
VD,20200308054000,23060
VD,20200308054500,22982
VD,20200308055000,23041
VD,20200308055500,23043
VD,20200308060000,23129
VD,20200308060500,23580
VD,20200308061000,23751
VD,20200308061500,23733
VD,20200308062000,23728
VD,20200308062500,23792
VD,20200308063000,23810
VD,20200308063500,23791
VD,20200308064000,23793
VD,20200308064500,23798
VD,20200308065000,23893
VD,20200308065500,23985
VD,20200308070000,24130
VD,20200308070500,24498
VD,20200308071000,24498
VD,20200308071500,24495
VD,20200308072000,24453
VD,20200308072500,24306
VD,20200308073000,24273
VD,20200308073500,24327
VD,20200308074000,24544
VD,20200308074500,24557
VD,20200308075000,24557
VD,20200308075500,24545
VD,20200308080000,24549
VD,20200308080500,24523
VD,20200308081000,24637
VD,20200308081500,24623
VD,20200308082000,24700
VD,20200308082500,24838
VD,20200308083000,25009
VD,20200308083500,25107
VD,20200308084000,25220
VD,20200308084500,25455
VD,20200308085000,25584
VD,20200308085500,25681
VD,20200308090000,25672
VD,20200308090500,25891
VD,20200308091000,26146
VD,20200308091500,26049
VD,20200308092000,26075
VD,20200308092500,26138
VD,20200308093000,26238
VD,20200308093500,26234
VD,20200308094000,26288
VD,20200308094500,26326
VD,20200308095000,26326
VD,20200308095500,26350
VD,20200308100000,26398
VD,20200308100500,26531
VD,20200308101000,26765
VD,20200308101500,26931
VD,20200308102000,26992
VD,20200308102500,27072
VD,20200308103000,27158
VD,20200308103500,27263
VD,20200308104000,27301
VD,20200308104500,27311
VD,20200308105000,27228
VD,20200308105500,27225
VD,20200308110000,27173
VD,20200308110500,27353
VD,20200308111000,27367
VD,20200308111500,27360
VD,20200308112000,27488
VD,20200308112500,27640
VD,20200308113000,27752
VD,20200308113500,27805
VD,20200308114000,27782
VD,20200308114500,27722
VD,20200308115000,27669
VD,20200308115500,27644
VD,20200308120000,27750
VD,20200308120500,27803
VD,20200308121000,27841
VD,20200308121500,27942
VD,20200308122000,27984
VD,20200308122500,28028
VD,20200308123000,28073
VD,20200308123500,28064
VD,20200308124000,28055
VD,20200308124500,27932
VD,20200308125000,27931
VD,20200308125500,27899
VD,20200308130000,27843
VD,20200308130500,27820
VD,20200308131000,27885
VD,20200308131500,27864
VD,20200308132000,27947
VD,20200308132500,27919
VD,20200308133000,27906
VD,20200308133500,27912
VD,20200308134000,27897
VD,20200308134500,27756
VD,20200308135000,27645
VD,20200308135500,27618
VD,20200308140000,27551
VD,20200308140500,27746
VD,20200308141000,27808
VD,20200308141500,27823
VD,20200308142000,27767
VD,20200308142500,27607
VD,20200308143000,27545
VD,20200308143500,27609
VD,20200308144000,27475
VD,20200308144500,27568
VD,20200308145000,27758
VD,20200308145500,27885
VD,20200308150000,28077
VD,20200308150500,28455
VD,20200308151000,28461
VD,20200308151500,28471
VD,20200308152000,28656
VD,20200308152500,28857
VD,20200308153000,28903
VD,20200308153500,29031
VD,20200308154000,29260
VD,20200308154500,29373
VD,20200308155000,29442
VD,20200308155500,29921
VD,20200308160000,30393
VD,20200308160500,30718
VD,20200308161000,30858
VD,20200308161500,30987
VD,20200308162000,31218
VD,20200308162500,31614
VD,20200308163000,31835
VD,20200308163500,32130
VD,20200308164000,32616
VD,20200308164500,32872
VD,20200308165000,32951
VD,20200308165500,33053
VD,20200308170000,33273
VD,20200308170500,33898
VD,20200308171000,34034
VD,20200308171500,34151
VD,20200308172000,34818
VD,20200308172500,35249
VD,20200308173000,35629
VD,20200308173500,35752
VD,20200308174000,35880
VD,20200308174500,35957
VD,20200308175000,36170
VD,20200308175500,36238
VD,20200308180000,36323
VD,20200308180500,36457
VD,20200308181000,36579
VD,20200308181500,36857
VD,20200308182000,37140
VD,20200308182500,37315
VD,20200308183000,37367
VD,20200308183500,37852
VD,20200308184000,37947
VD,20200308184500,37790
VD,20200308185000,37703
VD,20200308185500,37575
VD,20200308190000,37377
VD,20200308190500,37472
VD,20200308191000,37490
VD,20200308191500,37361
VD,20200308192000,37273
VD,20200308192500,37020
VD,20200308193000,36771
VD,20200308193500,36357
VD,20200308194000,36100
VD,20200308194500,35760
VD,20200308195000,35537
VD,20200308195500,35382
VD,20200308200000,35188
VD,20200308200500,35279
VD,20200308201000,35264
VD,20200308201500,35084
VD,20200308202000,34879
VD,20200308202500,34661
VD,20200308203000,34425
VD,20200308203500,34307
VD,20200308204000,34137
VD,20200308204500,33895
VD,20200308205000,33563
VD,20200308205500,33391
VD,20200308210000,33377
VD,20200308210500,33126
VD,20200308211000,32735
VD,20200308211500,32364
VD,20200308212000,32144
VD,20200308212500,32068
VD,20200308213000,31762
VD,20200308213500,31428
VD,20200308214000,31104
VD,20200308214500,30772
VD,20200308215000,30336
VD,20200308215500,30177
VD,20200308220000,30016
VD,20200308220500,29754
VD,20200308221000,29512
VD,20200308221500,29136
VD,20200308222000,28785
VD,20200308222500,28511
VD,20200308223000,28286
VD,20200308223500,28145
VD,20200308224000,27925
VD,20200308224500,27645
VD,20200308225000,27307
VD,20200308225500,26936
VD,20200308230000,26664
VD,20200308230500,26404
VD,20200308231000,26199
VD,20200308231500,25826
VD,20200308232000,25575
VD,20200308232500,25324
VD,20200308233000,24994
VD,20200308233500,24836
VD,20200308234000,24726
VD,20200308234500,24662
VD,20200308235000,24546
VD,20200308235500,24297
FTR,288,
