HDR,ROLLING SYSTEM DEMAND,
VD,20200303000000,28243
VD,20200303000500,28406
VD,20200303001000,28564
VD,20200303001500,28645
VD,20200303002000,28621
VD,20200303002500,28579
VD,20200303003000,28708
VD,20200303003500,28987
VD,20200303004000,28942
VD,20200303004500,28867
VD,20200303005000,28771
VD,20200303005500,28733
VD,20200303010000,28712
VD,20200303010500,28663
VD,20200303011000,28663
VD,20200303011500,28704
VD,20200303012000,28717
VD,20200303012500,28653
VD,20200303013000,28595
VD,20200303013500,28441
VD,20200303014000,28229
VD,20200303014500,28109
VD,20200303015000,28016
VD,20200303015500,27896
VD,20200303020000,27813
VD,20200303020500,27893
VD,20200303021000,27717
VD,20200303021500,27656
VD,20200303022000,27676
VD,20200303022500,27646
VD,20200303023000,27699
VD,20200303023500,27735
VD,20200303024000,27703
VD,20200303024500,27734
VD,20200303025000,27670
VD,20200303025500,27701
VD,20200303030000,27672
VD,20200303030500,27660
VD,20200303031000,27587
VD,20200303031500,27558
VD,20200303032000,27496
VD,20200303032500,27478
VD,20200303033000,27413
VD,20200303033500,27313
VD,20200303034000,27273
VD,20200303034500,27243
VD,20200303035000,27331
VD,20200303035500,27368
VD,20200303040000,27345
VD,20200303040500,27360
VD,20200303041000,27436
VD,20200303041500,27387
VD,20200303042000,27311
VD,20200303042500,27165
VD,20200303043000,26956
VD,20200303043500,26996
VD,20200303044000,27071
VD,20200303044500,27217
VD,20200303045000,27318
VD,20200303045500,27448
VD,20200303050000,27329
VD,20200303050500,26860
VD,20200303051000,26870
VD,20200303051500,26912
VD,20200303052000,27167
VD,20200303052500,27232
VD,20200303053000,27263
VD,20200303053500,27543
VD,20200303054000,27926
VD,20200303054500,28201
VD,20200303055000,28529
VD,20200303055500,29026
VD,20200303060000,29297
VD,20200303060500,29956
VD,20200303061000,30721
VD,20200303061500,31327
VD,20200303062000,31731
VD,20200303062500,32119
VD,20200303063000,32406
VD,20200303063500,32791
VD,20200303064000,33335
VD,20200303064500,33850
VD,20200303065000,34353
VD,20200303065500,34925
VD,20200303070000,35586
VD,20200303070500,36056
VD,20200303071000,36489
VD,20200303071500,36894
VD,20200303072000,37221
VD,20200303072500,37504
VD,20200303073000,37640
VD,20200303073500,38002
VD,20200303074000,38401
VD,20200303074500,38685
VD,20200303075000,38778
VD,20200303075500,38862
VD,20200303080000,38915
VD,20200303080500,39150
VD,20200303081000,39058
VD,20200303081500,39173
VD,20200303082000,39170
VD,20200303082500,39147
VD,20200303083000,39105
VD,20200303083500,39134
VD,20200303084000,39039
VD,20200303084500,38938
VD,20200303085000,38797
VD,20200303085500,38785
VD,20200303090000,38740
VD,20200303090500,38899
VD,20200303091000,38960
VD,20200303091500,38921
VD,20200303092000,38919
VD,20200303092500,38926
VD,20200303093000,38896
VD,20200303093500,38710
VD,20200303094000,38587
VD,20200303094500,38529
VD,20200303095000,38468
VD,20200303095500,38451
VD,20200303100000,38230
VD,20200303100500,37955
VD,20200303101000,37838
VD,20200303101500,37593
VD,20200303102000,37595
VD,20200303102500,37614
VD,20200303103000,36317
VD,20200303103500,36316
VD,20200303104000,37653
VD,20200303104500,37643
VD,20200303105000,37412
VD,20200303105500,37342
VD,20200303110000,37523
VD,20200303110500,37315
VD,20200303111000,37370
VD,20200303111500,37371
VD,20200303112000,37458
VD,20200303112500,37446
VD,20200303113000,37401
VD,20200303113500,37335
VD,20200303114000,37202
VD,20200303114500,37176
VD,20200303115000,37309
VD,20200303115500,33913
VD,20200303120000,37382
VD,20200303120500,37576
VD,20200303121000,37554
VD,20200303121500,37490
VD,20200303122000,37359
VD,20200303122500,37362
VD,20200303123000,37262
VD,20200303123500,37235
VD,20200303124000,37223
VD,20200303124500,37246
VD,20200303125000,37278
VD,20200303125500,37289
VD,20200303130000,37237
VD,20200303130500,37035
VD,20200303131000,37030
VD,20200303131500,37089
VD,20200303132000,36948
VD,20200303132500,36734
VD,20200303133000,36559
VD,20200303133500,36603
VD,20200303134000,36541
VD,20200303134500,36523
VD,20200303135000,36318
VD,20200303135500,36288
VD,20200303140000,36312
VD,20200303140500,36434
VD,20200303141000,36552
VD,20200303141500,36599
VD,20200303142000,36557
VD,20200303142500,36528
VD,20200303143000,36404
VD,20200303143500,36400
VD,20200303144000,36222
VD,20200303144500,36262
VD,20200303145000,36282
VD,20200303145500,36254
VD,20200303150000,36380
VD,20200303150500,36698
VD,20200303151000,36926
VD,20200303151500,36943
VD,20200303152000,37114
VD,20200303152500,37297
